index,train,val,test
0,BRACS_1506,BRACS_1510,BRACS_1814
1,BRACS_1788,BRACS_1838,BRACS_1936
2,BRACS_1003693,BRACS_1865,BRACS_300
3,BRACS_1774,BRACS_1926,BRACS_1941
4,BRACS_1775,BRACS_1773,BRACS_1943
5,BRACS_1871,BRACS_1975,BRACS_1944
6,BRACS_1778,BRACS_1882,BRACS_1955
7,BRACS_1815,BRACS_1969,BRACS_2007
8,BRACS_1777,BRACS_1795,BRACS_1813
9,BRACS_1968,BRACS_1003728,BRACS_1954
10,BRACS_743,BRACS_1494,BRACS_1937
11,BRACS_1857,BRACS_1933,BRACS_1228
12,BRACS_1971,BRACS_1876,BRACS_1892
13,BRACS_1239,BRACS_1785,BRACS_1825
14,BRACS_1858,BRACS_1918,BRACS_1589
15,BRACS_1319,BRACS_3278,BRACS_1844
16,BRACS_1916,BRACS_1873,BRACS_1003694
17,BRACS_1257,BRACS_3317,BRACS_1895
18,BRACS_1250,BRACS_1003707,BRACS_1856
19,BRACS_1610,BRACS_1881,BRACS_1938
20,BRACS_1799,BRACS_1596,BRACS_1003691
21,BRACS_1886,BRACS_1995,BRACS_1849
22,BRACS_3266,BRACS_1791,BRACS_1503
23,BRACS_3285,BRACS_1335,BRACS_1619
24,BRACS_1915,BRACS_1270,BRACS_1853
25,BRACS_3318,BRACS_1609,BRACS_1952
26,BRACS_1912,BRACS_1660,BRACS_1824
27,BRACS_1499,BRACS_3300,BRACS_1848
28,BRACS_1913,BRACS_3295,BRACS_1416
29,BRACS_1863,BRACS_3311,BRACS_1334
30,BRACS_1899,BRACS_1003669,BRACS_1896
31,BRACS_1932,BRACS_1003668,BRACS_1821
32,BRACS_1379,BRACS_1275,BRACS_264
33,BRACS_1861,BRACS_1841,BRACS_1940
34,BRACS_1925,BRACS_1329,BRACS_1942
35,BRACS_1877,BRACS_1003659,BRACS_1906
36,BRACS_1934,BRACS_1003734,BRACS_1847
37,BRACS_1808,BRACS_3269,BRACS_1845
38,BRACS_1911,BRACS_2000,BRACS_1846
39,BRACS_1616,BRACS_1485,BRACS_1412
40,BRACS_1622,BRACS_1666,BRACS_1843
41,BRACS_1860,BRACS_1901,BRACS_1850
42,BRACS_1922,BRACS_1248,BRACS_3324
43,BRACS_1987,BRACS_1583,BRACS_1870
44,BRACS_1486,BRACS_1259,BRACS_1851
45,BRACS_1794,BRACS_3335,BRACS_1852
46,BRACS_1271,BRACS_1665,BRACS_1842
47,BRACS_1797,BRACS_1633,BRACS_1330
48,BRACS_1885,BRACS_1948,BRACS_3323
49,BRACS_1953,BRACS_1664,BRACS_1286
50,BRACS_1977,BRACS_1273,BRACS_1578
51,BRACS_1982,BRACS_1370,BRACS_1823
52,BRACS_1983,BRACS_1905,BRACS_1411
53,BRACS_1786,BRACS_757,BRACS_301
54,BRACS_1003685,BRACS_1003731,BRACS_1284
55,BRACS_1618,BRACS_1277,BRACS_1910
56,BRACS_1959,BRACS_1516,BRACS_310
57,BRACS_1642,BRACS_1235,BRACS_1414
58,BRACS_1793,BRACS_1003698,BRACS_1413
59,BRACS_1244,BRACS_1232,BRACS_1590
60,BRACS_1787,BRACS_1487,BRACS_292
61,BRACS_1958,BRACS_1406,BRACS_286
62,BRACS_1606,BRACS_280,BRACS_1826
63,BRACS_1789,BRACS_1478,BRACS_305
64,BRACS_1780,BRACS_3290,BRACS_1817
65,BRACS_1792,BRACS_3294,BRACS_1580
66,BRACS_1337,BRACS_1647,BRACS_1908
67,BRACS_1594,BRACS_1643,BRACS_1587
68,BRACS_1834,BRACS_1293,BRACS_1945
69,BRACS_1617,BRACS_753,BRACS_1897
70,BRACS_1836,BRACS_3319,BRACS_1878
71,BRACS_3313,BRACS_747,BRACS_1872
72,BRACS_1957,BRACS_1395,BRACS_1867
73,BRACS_1997,BRACS_739,BRACS_1602
74,BRACS_1996,BRACS_740,BRACS_1597
75,BRACS_1949,BRACS_1003697,BRACS_1588
76,BRACS_3273,BRACS_1247,BRACS_1476
77,BRACS_1003705,BRACS_1490,BRACS_1474
78,BRACS_1495,BRACS_1491,BRACS_1283
79,BRACS_1914,BRACS_1864,BRACS_1473
80,BRACS_1993,BRACS_1874,
81,BRACS_1604,BRACS_1883,
82,BRACS_2005,BRACS_737,
83,BRACS_1946,BRACS_735,
84,BRACS_2001,,
85,BRACS_1783,,
86,BRACS_1782,,
87,BRACS_1409,,
88,BRACS_1917,,
89,BRACS_1581,,
90,BRACS_1326,,
