index,train,val,test
0,BRACS_1506,BRACS_743,BRACS_1814
1,BRACS_1510,BRACS_1858,BRACS_1936
2,BRACS_1788,BRACS_1250,BRACS_300
3,BRACS_1838,BRACS_1610,BRACS_1941
4,BRACS_1003693,BRACS_1799,BRACS_1943
5,BRACS_1774,BRACS_3266,BRACS_1944
6,BRACS_1775,BRACS_3318,BRACS_1955
7,BRACS_1871,BRACS_1912,BRACS_2007
8,BRACS_1778,BRACS_1932,BRACS_1813
9,BRACS_1815,BRACS_1925,BRACS_1954
10,BRACS_1865,BRACS_1922,BRACS_1937
11,BRACS_1777,BRACS_1797,BRACS_1228
12,BRACS_1968,BRACS_1977,BRACS_1892
13,BRACS_1857,BRACS_1983,BRACS_1825
14,BRACS_1971,BRACS_1618,BRACS_1589
15,BRACS_1239,BRACS_1959,BRACS_1844
16,BRACS_1926,BRACS_1793,BRACS_1003694
17,BRACS_1319,BRACS_1958,BRACS_1895
18,BRACS_1916,BRACS_1337,BRACS_1856
19,BRACS_1257,BRACS_1594,BRACS_1938
20,BRACS_1773,BRACS_1617,BRACS_1003691
21,BRACS_1886,BRACS_1836,BRACS_1849
22,BRACS_1975,BRACS_1782,BRACS_1503
23,BRACS_3285,BRACS_1667,BRACS_1619
24,BRACS_1915,BRACS_1498,BRACS_1853
25,BRACS_1499,BRACS_1592,BRACS_1952
26,BRACS_1913,BRACS_1595,BRACS_1824
27,BRACS_1863,BRACS_3337,BRACS_1848
28,BRACS_1899,BRACS_1994,BRACS_1416
29,BRACS_1882,BRACS_1003724,BRACS_1334
30,BRACS_1379,BRACS_3296,BRACS_1896
31,BRACS_1969,BRACS_1424,BRACS_1821
32,BRACS_1861,BRACS_1276,BRACS_264
33,BRACS_1877,BRACS_1902,BRACS_1940
34,BRACS_1934,BRACS_1669,BRACS_1942
35,BRACS_1795,BRACS_1322,BRACS_1906
36,BRACS_1808,BRACS_1989,BRACS_1847
37,BRACS_1911,BRACS_1796,BRACS_1845
38,BRACS_1003728,BRACS_745,BRACS_1846
39,BRACS_1616,BRACS_1003725,BRACS_1412
40,BRACS_1494,BRACS_1253,BRACS_1843
41,BRACS_1622,BRACS_1631,BRACS_1850
42,BRACS_1860,BRACS_1003671,BRACS_3324
43,BRACS_1933,BRACS_1408,BRACS_1870
44,BRACS_1987,BRACS_1904,BRACS_1851
45,BRACS_1486,BRACS_1779,BRACS_1852
46,BRACS_1794,BRACS_1961,BRACS_1842
47,BRACS_1271,BRACS_760,BRACS_1330
48,BRACS_1876,BRACS_1612,BRACS_3323
49,BRACS_1885,BRACS_761,BRACS_1286
50,BRACS_1953,BRACS_1338,BRACS_1578
51,BRACS_1982,BRACS_1242,BRACS_1823
52,BRACS_1786,BRACS_1605,BRACS_1411
53,BRACS_1003685,BRACS_1637,BRACS_301
54,BRACS_1642,BRACS_1635,BRACS_1284
55,BRACS_1785,BRACS_288,BRACS_1910
56,BRACS_1244,BRACS_1003678,BRACS_310
57,BRACS_1918,BRACS_754,BRACS_1414
58,BRACS_3278,BRACS_1272,BRACS_1413
59,BRACS_1787,BRACS_1648,BRACS_1590
60,BRACS_1606,BRACS_1279,BRACS_292
61,BRACS_1789,BRACS_1831,BRACS_286
62,BRACS_1780,BRACS_759,BRACS_1826
63,BRACS_1792,BRACS_1356,BRACS_305
64,BRACS_1834,BRACS_1003709,BRACS_1817
65,BRACS_1873,BRACS_1233,BRACS_1580
66,BRACS_3313,BRACS_1374,BRACS_1908
67,BRACS_3317,BRACS_1639,BRACS_1587
68,BRACS_1003707,BRACS_1650,BRACS_1945
69,BRACS_1957,BRACS_1828,BRACS_1897
70,BRACS_1997,BRACS_1003721,BRACS_1878
71,BRACS_1881,BRACS_1827,BRACS_1872
72,BRACS_1996,BRACS_1361,BRACS_1867
73,BRACS_1949,BRACS_1393,BRACS_1602
74,BRACS_3273,BRACS_3301,BRACS_1597
75,BRACS_1003705,BRACS_1607,BRACS_1588
76,BRACS_1596,BRACS_1811,BRACS_1476
77,BRACS_1495,BRACS_1816,BRACS_1474
78,BRACS_1914,BRACS_1835,BRACS_1283
79,BRACS_1993,BRACS_1862,BRACS_1473
80,BRACS_1604,BRACS_1903,
81,BRACS_2005,BRACS_1927,
82,BRACS_1946,BRACS_1947,
83,BRACS_2001,BRACS_762,
84,BRACS_1783,BRACS_736,
85,BRACS_1995,,
86,BRACS_1791,,
87,BRACS_1409,,
88,BRACS_1917,,
89,BRACS_1335,,
90,BRACS_1581,,
91,BRACS_1326,,
92,BRACS_1837,,
93,BRACS_3310,,
94,BRACS_1963,,
95,BRACS_1621,,
96,BRACS_1270,,
97,BRACS_1003660,,
98,BRACS_1003661,,
99,BRACS_1295,,
100,BRACS_1591,,
101,BRACS_1609,,
102,BRACS_265,,
103,BRACS_3284,,
104,BRACS_1603,,
105,BRACS_1660,,
106,BRACS_3300,,
107,BRACS_1593,,
108,BRACS_3298,,
109,BRACS_3295,,
110,BRACS_1321,,
111,BRACS_1980,,
112,BRACS_1967,,
113,BRACS_3279,,
114,BRACS_1608,,
115,BRACS_3311,,
116,BRACS_1003669,,
117,BRACS_3270,,
118,BRACS_1423,,
119,BRACS_1336,,
120,BRACS_1964,,
121,BRACS_3271,,
122,BRACS_1003668,,
123,BRACS_1275,,
124,BRACS_1841,,
125,BRACS_3309,,
126,BRACS_1988,,
127,BRACS_1668,,
128,BRACS_1003700,,
129,BRACS_1003710,,
130,BRACS_1656,,
131,BRACS_1879,,
132,BRACS_1003686,,
133,BRACS_1003730,,
134,BRACS_3274,,
135,BRACS_1003658,,
136,BRACS_1582,,
137,BRACS_3268,,
138,BRACS_1327,,
139,BRACS_1329,,
140,BRACS_1640,,
141,BRACS_1003659,,
142,BRACS_1324,,
143,BRACS_1325,,
144,BRACS_1003734,,
145,BRACS_1869,,
146,BRACS_3269,,
147,BRACS_1962,,
148,BRACS_1965,,
149,BRACS_1784,,
150,BRACS_2002,,
151,BRACS_3281,,
152,BRACS_2000,,
153,BRACS_1866,,
154,BRACS_1960,,
155,BRACS_3272,,
156,BRACS_1493,,
157,BRACS_3336,,
158,BRACS_1251,,
159,BRACS_1485,,
160,BRACS_1986,,
161,BRACS_1890,,
162,BRACS_1666,,
163,BRACS_1901,,
164,BRACS_1255,,
165,BRACS_1772,,
166,BRACS_1248,,
167,BRACS_1480,,
168,BRACS_1583,,
169,BRACS_1839,,
170,BRACS_3312,,
171,BRACS_1240,,
172,BRACS_1661,,
173,BRACS_1659,,
174,BRACS_3276,,
175,BRACS_1634,,
176,BRACS_1966,,
177,BRACS_1259,,
178,BRACS_1274,,
179,BRACS_1900,,
180,BRACS_3335,,
181,BRACS_3334,,
182,BRACS_1655,,
183,BRACS_1483,,
184,BRACS_1508,,
185,BRACS_1249,,
186,BRACS_1665,,
187,BRACS_1633,,
188,BRACS_1620,,
189,BRACS_1948,,
190,BRACS_1664,,
191,BRACS_1003706,,
192,BRACS_3283,,
193,BRACS_1832,,
194,BRACS_1880,,
195,BRACS_1003672,,
196,BRACS_758,,
197,BRACS_1972,,
198,BRACS_1273,,
199,BRACS_1924,,
200,BRACS_1370,,
201,BRACS_1320,,
202,BRACS_1511,,
203,BRACS_1318,,
204,BRACS_1833,,
205,BRACS_1905,,
206,BRACS_1241,,
207,BRACS_1893,,
208,BRACS_2004,,
209,BRACS_3316,,
210,BRACS_1654,,
211,BRACS_1407,,
212,BRACS_1231,,
213,BRACS_1830,,
214,BRACS_1484,,
215,BRACS_757,,
216,BRACS_1636,,
217,BRACS_1638,,
218,BRACS_1003731,,
219,BRACS_1003722,,
220,BRACS_1646,,
221,BRACS_1287,,
222,BRACS_3321,,
223,BRACS_1358,,
224,BRACS_1277,,
225,BRACS_1516,,
226,BRACS_1292,,
227,BRACS_3289,,
228,BRACS_750,,
229,BRACS_1477,,
230,BRACS_1235,,
231,BRACS_749,,
232,BRACS_752,,
233,BRACS_291,,
234,BRACS_1003698,,
235,BRACS_1357,,
236,BRACS_1003677,,
237,BRACS_283,,
238,BRACS_1263,,
239,BRACS_298,,
240,BRACS_1232,,
241,BRACS_1003692,,
242,BRACS_1487,,
243,BRACS_1003667,,
244,BRACS_3308,,
245,BRACS_1406,,
246,BRACS_1003699,,
247,BRACS_1875,,
248,BRACS_3305,,
249,BRACS_1003708,,
250,BRACS_773,,
251,BRACS_280,,
252,BRACS_1478,,
253,BRACS_3290,,
254,BRACS_295,,
255,BRACS_1360,,
256,BRACS_3293,,
257,BRACS_748,,
258,BRACS_3315,,
259,BRACS_281,,
260,BRACS_1003673,,
261,BRACS_3294,,
262,BRACS_311,,
263,BRACS_756,,
264,BRACS_1003723,,
265,BRACS_1647,,
266,BRACS_1289,,
267,BRACS_1265,,
268,BRACS_3320,,
269,BRACS_3291,,
270,BRACS_1649,,
271,BRACS_1643,,
272,BRACS_1003732,,
273,BRACS_1293,,
274,BRACS_1288,,
275,BRACS_1003684,,
276,BRACS_753,,
277,BRACS_3314,,
278,BRACS_3319,,
279,BRACS_1003703,,
280,BRACS_1984,,
281,BRACS_1812,,
282,BRACS_1810,,
283,BRACS_747,,
284,BRACS_1003670,,
285,BRACS_297,,
286,BRACS_1652,,
287,BRACS_734,,
288,BRACS_1003727,,
289,BRACS_1829,,
290,BRACS_1362,,
291,BRACS_1368,,
292,BRACS_1392,,
293,BRACS_1394,,
294,BRACS_1395,,
295,BRACS_1798,,
296,BRACS_738,,
297,BRACS_739,,
298,BRACS_740,,
299,BRACS_1921,,
300,BRACS_1003697,,
301,BRACS_1238,,
302,BRACS_1247,,
303,BRACS_1366,,
304,BRACS_1367,,
305,BRACS_1369,,
306,BRACS_1489,,
307,BRACS_1490,,
308,BRACS_1491,,
309,BRACS_1492,,
310,BRACS_1496,,
311,BRACS_1497,,
312,BRACS_1509,,
313,BRACS_1512,,
314,BRACS_1514,,
315,BRACS_1515,,
316,BRACS_1653,,
317,BRACS_1771,,
318,BRACS_1840,,
319,BRACS_1864,,
320,BRACS_1874,,
321,BRACS_1883,,
322,BRACS_1888,,
323,BRACS_1919,,
324,BRACS_1920,,
325,BRACS_1923,,
326,BRACS_1928,,
327,BRACS_1929,,
328,BRACS_1930,,
329,BRACS_1931,,
330,BRACS_1935,,
331,BRACS_1950,,
332,BRACS_1970,,
333,BRACS_755,,
334,BRACS_737,,
335,BRACS_735,,
